Date,Strategy,LegID,OptionType,Strike,Expiry,DTE,SpotPrice,IntendedEntryTime,EntryTime,EntryPrice,EntryDelayed,EntryDelayMinutes,ExitTime,ExitPrice,ExitReason,SLPrice,Qty,PnL
2024-12-24,ITMStraddle,PE,PE,23900,2024-12-26,2,23766.8,09:20,2024-12-24 09:20:00+05:30,165.0500030517578,False,0,2024-12-24 15:15:00+05:30,152.85000610351562,TIME_EXIT,231.07000732421875,-1,12.199996948242188
2024-12-26,ITMStraddle,CE,CE,23700,2024-12-26,0,23841.9,09:20,2024-12-26 09:20:00+05:30,174.0500030517578,False,0,2024-12-26 15:15:00+05:30,50.79999923706055,TIME_EXIT,243.6699981689453,-1,123.25
2024-12-26,ITMStraddle,PE,PE,23900,2024-12-26,0,23841.9,09:20,2024-12-26 09:20:00+05:30,90.80000305175781,False,0,2024-12-26 10:01:00+05:30,152.0,SL_HIT,127.12000274658203,-1,-61.19999694824219
2024-12-27,ITMStraddle,CE,CE,23700,2025-01-02,6,23827.5,09:20,2024-12-27 09:20:00+05:30,276.54998779296875,False,0,2024-12-27 15:15:00+05:30,243.89999389648438,TIME_EXIT,387.16998291015625,-1,32.649993896484375
2024-12-27,ITMStraddle,PE,PE,23900,2025-01-02,6,23827.5,09:20,2024-12-27 09:20:00+05:30,197.85000610351562,False,0,2024-12-27 15:15:00+05:30,154.4499969482422,TIME_EXIT,276.989990234375,-1,43.40000915527344
2024-12-30,ITMStraddle,CE,CE,23700,2025-01-02,3,23793.2,09:20,2024-12-30 09:20:00+05:30,201.35000610351562,False,0,2024-12-30 11:50:00+05:30,300.0,SL_HIT,281.8900146484375,-1,-98.64999389648438
2024-12-30,ITMStraddle,PE,PE,23900,2025-01-02,3,23793.2,09:20,2024-12-30 09:20:00+05:30,172.0,False,0,2024-12-30 13:31:00+05:30,253.9499969482422,SL_HIT,240.8000030517578,-1,-81.94999694824219
2024-12-31,ITMStraddle,CE,CE,23500,2025-01-02,2,23562.4,09:20,2024-12-31 09:20:00+05:30,161.39999389648438,False,0,2024-12-31 10:54:00+05:30,227.0,SL_HIT,225.95999145507812,-1,-65.60000610351562
2024-12-31,ITMStraddle,PE,PE,23700,2025-01-02,2,23562.4,09:20,2024-12-31 09:20:00+05:30,207.60000610351562,False,0,2024-12-31 15:15:00+05:30,135.35000610351562,TIME_EXIT,290.6400146484375,-1,72.25
2025-01-01,ITMStraddle,CE,CE,23600,2025-01-02,1,23661.7,09:20,2025-01-01 09:20:00+05:30,162.10000610351562,False,0,2025-01-01 10:49:00+05:30,229.9499969482422,SL_HIT,226.94000244140625,-1,-67.84999084472656
2025-01-01,ITMStraddle,PE,PE,23800,2025-01-02,1,23661.7,09:20,2025-01-01 09:20:00+05:30,188.0500030517578,False,0,2025-01-01 15:15:00+05:30,126.19999694824219,TIME_EXIT,263.2699890136719,-1,61.850006103515625
2025-01-02,ITMStraddle,CE,CE,23700,2025-01-02,0,23765.1,09:20,2025-01-02 09:20:00+05:30,164.9499969482422,False,0,2025-01-02 10:24:00+05:30,237.64999389648438,SL_HIT,230.92999267578125,-1,-72.69999694824219
2025-01-02,ITMStraddle,PE,PE,23900,2025-01-02,0,23765.1,09:20,2025-01-02 09:20:00+05:30,175.5,False,0,2025-01-02 15:15:00+05:30,0.15000000596046448,TIME_EXIT,245.6999969482422,-1,175.35000610351562
2025-01-03,ITMStraddle,CE,CE,24100,2025-01-09,6,24169.25,09:20,2025-01-03 09:20:00+05:30,218.9499969482422,False,0,2025-01-03 15:15:00+05:30,118.5999984741211,TIME_EXIT,306.5299987792969,-1,100.3499984741211
2025-01-03,ITMStraddle,PE,PE,24300,2025-01-09,6,24169.25,09:20,2025-01-03 09:20:00+05:30,254.10000610351562,False,0,2025-01-03 10:33:00+05:30,356.1000061035156,SL_HIT,355.739990234375,-1,-102.0
