DATE,INDEX,EXPIRYDATE,DAY,ENTRY_TIME,INDEX_ENTRY_PRICE,ENTRY_PRICE,EXIT_TIME,INDEX_EXIT_PRICE,EXIT_PRICE,EXIT_REASON,STRIKE,TYPE,SL_INDEX,SL_BEFORE_ROUND,VOLATILITY,UPPER_RANGE,LOWER_RANGE,RANGE_USED,QTY,PNL
2022-07-12,NIFTY,2022-07-14,Tuesday,09:20,16124.55,46.95,15:20,16034.8,61.4,EOD,15950,PE,15954.596794146566,15954.596794146566,169.95320585343276,,15954.596794146566,169.95320585343276,-1,-14.450001
2022-07-13,NIFTY,2022-07-14,Wednesday,09:20,16111.35,19.9,15:20,15966.4,4.55,EOD,16300,CE,16280.38563588698,16280.38563588698,169.0356358869802,16280.38563588698,,169.0356358869802,-1,15.349999
2022-07-13,NIFTY,2022-07-14,Wednesday,09:20,16111.35,28.7,15:20,15966.4,68.15,EOD,15950,PE,15942.314364113021,15942.314364113021,169.0356358869802,,15942.314364113021,169.0356358869802,-1,-39.45
2022-07-14,NIFTY,2022-07-14,Thursday,09:20,16026.9,6.35,15:20,15945.95,0.05,EOD,16200,CE,16195.346824388118,16195.346824388118,168.44682438811788,16195.346824388118,,168.44682438811788,-1,6.2999997
2022-07-14,NIFTY,2022-07-14,Thursday,09:20,16026.9,11.25,15:20,15945.95,0.05,EOD,15850,PE,15858.453175611881,15858.453175611881,168.44682438811788,,15858.453175611881,168.44682438811788,-1,11.2
2022-07-15,NIFTY,2022-07-21,Friday,09:20,16022.9,54.15,15:20,16046.1,60.0,EOD,16200,CE,16192.264470548547,16192.264470548547,169.36447054854753,16192.264470548547,,169.36447054854753,-1,-5.8499985
2022-07-15,NIFTY,2022-07-21,Friday,09:20,16022.9,68.25,15:20,16046.1,50.05,EOD,15850,PE,15853.535529451452,15853.535529451452,169.36447054854753,,15853.535529451452,169.36447054854753,-1,18.2
2022-07-18,NIFTY,2022-07-21,Monday,09:20,16181.15,39.5,15:20,16278.6,65.75,EOD,16350,CE,16353.138625210586,16353.138625210586,171.98862521058578,16353.138625210586,,171.98862521058578,-1,-26.25
2022-07-18,NIFTY,2022-07-21,Monday,09:20,16181.15,41.7,15:20,16278.6,20.5,EOD,16000,PE,16009.161374789413,16009.161374789413,171.98862521058578,,16009.161374789413,171.98862521058578,-1,21.2
2022-07-19,NIFTY,2022-07-21,Tuesday,09:20,16239.5,28.3,15:20,16333.6,48.75,EOD,16400,CE,16411.724184596245,16411.724184596245,172.22418459624666,16411.724184596245,,172.22418459624666,-1,-20.45
2022-07-19,NIFTY,2022-07-21,Tuesday,09:20,16239.5,32.0,15:20,16333.6,13.05,EOD,16050,PE,16067.275815403753,16067.275815403753,172.22418459624666,,16067.275815403753,172.22418459624666,-1,18.95
2022-07-20,NIFTY,2022-07-21,Wednesday,09:20,16520.75,11.25,15:20,16506.7,5.5,EOD,16700,CE,16694.696798776476,16694.696798776476,173.94679877647752,16694.696798776476,,173.94679877647752,-1,5.75
2022-07-20,NIFTY,2022-07-21,Wednesday,09:20,16520.75,18.95,15:20,16506.7,13.45,EOD,16350,PE,16346.803201223522,16346.803201223522,173.94679877647752,,16346.803201223522,173.94679877647752,-1,5.500001
2022-07-21,NIFTY,2022-07-21,Thursday,09:20,16513.4,1.8,15:20,16612.1,0.05,EOD,16700,CE,16688.363242021074,16688.363242021074,174.9632420210731,16688.363242021074,,174.9632420210731,-1,1.75
2022-07-21,NIFTY,2022-07-21,Thursday,09:20,16513.4,6.65,15:20,16612.1,0.05,EOD,16350,PE,16338.436757978929,16338.436757978929,174.9632420210731,,16338.436757978929,174.9632420210731,-1,6.6
2022-07-22,NIFTY,2022-07-28,Friday,09:20,16682.85,52.6,15:20,16708.4,65.2,EOD,16850,CE,16858.70563210804,16858.70563210804,175.85563210804244,16858.70563210804,,175.85563210804244,-1,-12.599998
2022-07-22,NIFTY,2022-07-28,Friday,09:20,16682.85,66.7,15:20,16708.4,52.7,EOD,16500,PE,16506.994367891955,16506.994367891955,175.85563210804244,,16506.994367891955,175.85563210804244,-1,13.999996
2022-07-25,NIFTY,2022-07-28,Monday,09:20,16682.0,50.0,15:20,16621.5,26.85,EOD,16850,CE,16856.573477685557,16856.573477685557,174.57347768555815,16856.573477685557,,174.57347768555815,-1,23.15
2022-07-25,NIFTY,2022-07-28,Monday,09:20,16682.0,51.05,15:20,16621.5,55.05,EOD,16500,PE,16507.426522314443,16507.426522314443,174.57347768555815,,16507.426522314443,174.57347768555815,-1,-4.0
2022-07-26,NIFTY,2022-07-28,Tuesday,09:20,16552.0,45.45,15:20,16470.55,17.8,EOD,16700,CE,16724.974925511175,16724.974925511175,172.97492551117287,16724.974925511175,,172.97492551117287,-1,27.650002
2022-07-26,NIFTY,2022-07-28,Tuesday,09:20,16552.0,39.9,15:20,16470.55,51.55,EOD,16400,PE,16379.025074488827,16379.025074488827,172.97492551117287,,16379.025074488827,172.97492551117287,-1,-11.649998
2022-07-27,NIFTY,2022-07-28,Wednesday,09:20,16503.05,15.05,15:20,16645.3,60.25,EOD,16700,CE,16677.86739104866,16677.86739104866,174.81739104866352,16677.86739104866,,174.81739104866352,-1,-45.2
2022-07-27,NIFTY,2022-07-28,Wednesday,09:20,16503.05,30.25,15:20,16645.3,13.0,EOD,16350,PE,16328.232608951335,16328.232608951335,174.81739104866352,,16328.232608951335,174.81739104866352,-1,17.25
2022-07-28,NIFTY,2022-07-28,Thursday,09:20,16775.9,3.15,15:20,16936.5,0.2,EOD,16950,CE,16954.097613944567,16954.097613944567,178.19761394456677,16954.097613944567,,178.19761394456677,-1,2.95
2022-07-28,NIFTY,2022-07-28,Thursday,09:20,16775.9,7.1,15:20,16936.5,0.05,EOD,16600,PE,16597.702386055436,16597.702386055436,178.19761394456677,,16597.702386055436,178.19761394456677,-1,7.0499997
2022-07-29,NIFTY,2022-08-04,Friday,09:20,17095.45,55.65,15:20,17164.7,72.4,EOD,17300,CE,17276.329328862903,17276.329328862903,180.8793288629031,17276.329328862903,,180.8793288629031,-1,-16.75
2022-07-29,NIFTY,2022-08-04,Friday,09:20,17095.45,60.0,15:20,17164.7,36.65,EOD,16900,PE,16914.5706711371,16914.5706711371,180.8793288629031,,16914.5706711371,180.8793288629031,-1,23.349998
2022-08-01,NIFTY,2022-08-04,Monday,09:20,17182.1,51.15,15:20,17341.65,104.5,EOD,17350,CE,17364.766818218417,17364.766818218417,182.6668182184193,17364.766818218417,,182.6668182184193,-1,-53.35
2022-08-01,NIFTY,2022-08-04,Monday,09:20,17182.1,51.15,15:20,17341.65,21.7,EOD,17000,PE,16999.43318178158,16999.43318178158,182.6668182184193,,16999.43318178158,182.6668182184193,-1,29.45
2022-08-02,NIFTY,2022-08-04,Tuesday,09:20,17298.1,28.25,15:20,17330.8,22.7,EOD,17500,CE,17480.086396258295,17480.086396258295,181.9863962582952,17480.086396258295,,181.9863962582952,-1,5.549999
2022-08-02,NIFTY,2022-08-04,Tuesday,09:20,17298.1,40.4,15:20,17330.8,31.5,EOD,17100,PE,17116.1136037417,17116.1136037417,181.9863962582952,,17116.1136037417,181.9863962582952,-1,8.900002
2022-08-03,NIFTY,2022-08-04,Wednesday,09:20,17361.1,17.15,15:20,17391.3,12.0,EOD,17550,CE,17543.881190676722,17543.881190676722,182.7811906767221,17543.881190676722,,182.7811906767221,-1,5.1499996
2022-08-03,NIFTY,2022-08-04,Wednesday,09:20,17361.1,36.0,15:20,17391.3,16.8,EOD,17200,PE,17178.318809323275,17178.318809323275,182.7811906767221,,17178.318809323275,182.7811906767221,-1,19.2
2022-08-04,NIFTY,2022-08-04,Thursday,09:20,17464.6,3.1,15:20,17361.05,0.05,EOD,17650,CE,17646.77753936276,17646.77753936276,182.1775393627616,17646.77753936276,,182.1775393627616,-1,3.05
2022-08-04,NIFTY,2022-08-04,Thursday,09:20,17464.6,9.15,11:31,17281.45,68.8,PE_SL_HIT,17300,PE,17282.422460637237,17282.422460637237,182.1775393627616,,17282.422460637237,182.1775393627616,-1,-59.65
2022-08-04,NIFTY,2022-08-04,Thursday,11:32,17281.45,11.5,15:20,17361.05,0.05,EOD,17100,PE,17100.244921274476,17100.244921274476,182.1775393627616,,17100.244921274476,182.1775393627616,-1,11.45
2022-08-05,NIFTY,2022-08-11,Friday,09:20,17393.6,82.8,15:20,17395.95,53.5,EOD,17600,CE,17575.741168051547,17575.741168051547,182.1411680515484,17575.741168051547,,182.1411680515484,-1,29.300003
2022-08-05,NIFTY,2022-08-11,Friday,09:20,17393.6,90.6,15:20,17395.95,70.15,EOD,17200,PE,17211.45883194845,17211.45883194845,182.1411680515484,,17211.45883194845,182.1411680515484,-1,20.449997
2022-08-08,NIFTY,2022-08-11,Monday,09:20,17369.6,52.35,15:20,17514.85,92.15,EOD,17550,CE,17553.008601350037,17553.008601350037,183.4086013500391,17553.008601350037,,183.4086013500391,-1,-39.800003
2022-08-08,NIFTY,2022-08-11,Monday,09:20,17369.6,62.15,15:20,17514.85,24.95,EOD,17200,PE,17186.19139864996,17186.19139864996,183.4086013500391,,17186.19139864996,183.4086013500391,-1,37.2
2022-08-10,NIFTY,2022-08-11,Wednesday,09:20,17513.15,26.3,15:20,17522.05,16.25,EOD,17700,CE,17696.22272460213,17696.22272460213,183.0727246021287,17696.22272460213,,183.0727246021287,-1,10.049999
