DATE,INDEX,EXPIRYDATE,DAY,ENTRY_TIME,INDEX_ENTRY_PRICE,ENTRY_PRICE,EXIT_TIME,INDEX_EXIT_PRICE,EXIT_PRICE,EXIT_REASON,STRIKE,TYPE,SL_INDEX,SL_BEFORE_ROUND,VOLATILITY,UPPER_RANGE,LOWER_RANGE,RANGE_USED,QTY,PNL
2023-02-01,NIFTY,2023-02-02,Wednesday,14:47,17439.75,96.9,15:19,17629.55,26.95,EOD,17450,PE,,,,17550,17350,100,-1,69.95
2023-02-02,NIFTY,2023-02-02,Thursday,09:20,17474.45,95.8,09:26,17577.1,157.4,UPPER_BREACH,17450,CE,,,,17550,17350,100,-1,-61.59999
2023-02-02,NIFTY,2023-02-02,Thursday,09:20,17474.45,67.5,15:19,17616.05,0.1,EOD,17450,PE,,,,17550,17350,100,-1,67.4
2023-02-02,NIFTY,2023-02-02,Thursday,09:27,17577.1,89.7,09:49,17650.1,135.2,UPPER_BREACH,17550,CE,,,,17650,17450,100,-1,-45.5
2023-02-02,NIFTY,2023-02-02,Thursday,09:27,17577.1,61.1,15:19,17616.05,0.1,EOD,17550,PE,,,,17650,17450,100,-1,61.0
2023-02-02,NIFTY,2023-02-02,Thursday,09:50,17650.1,70.05,15:19,17616.05,0.15,EOD,17650,CE,,,,17750,17550,100,-1,69.9
2023-02-02,NIFTY,2023-02-02,Thursday,09:50,17650.1,68.95,10:27,17544.95,127.35,LOWER_BREACH,17650,PE,,,,17750,17550,100,-1,-58.4
2023-02-03,NIFTY,2023-02-09,Friday,09:20,17700.55,150.75,14:30,17815.9,203.6,UPPER_BREACH,17700,CE,,,,17800,17600,100,-1,-52.850006
2023-02-03,NIFTY,2023-02-09,Friday,09:20,17700.55,129.25,10:43,17599.9,183.55,LOWER_BREACH,17700,PE,,,,17800,17600,100,-1,-54.300003
2023-02-03,NIFTY,2023-02-09,Friday,10:44,17599.9,145.05,12:22,17701.0,200.15,UPPER_BREACH,17600,CE,,,,17700,17500,100,-1,-55.09999
2023-02-03,NIFTY,2023-02-09,Friday,10:44,17599.9,132.4,15:19,17858.5,42.05,EOD,17600,PE,,,,17700,17500,100,-1,90.34999
2023-02-03,NIFTY,2023-02-09,Friday,14:31,17815.9,139.75,15:19,17858.5,156.2,EOD,17800,CE,,,,17900,17700,100,-1,-16.449997
2023-02-03,NIFTY,2023-02-09,Friday,14:31,17815.9,109.65,15:19,17858.5,92.7,EOD,17800,PE,,,,17900,17700,100,-1,16.950005
2023-02-06,NIFTY,2023-02-09,Monday,09:20,17778.7,104.35,15:19,17764.5,85.45,EOD,17800,CE,,,,17900,17700,100,-1,18.900002
2023-02-06,NIFTY,2023-02-09,Monday,09:20,17778.7,119.75,10:55,17699.45,166.25,LOWER_BREACH,17800,PE,,,,17900,17700,100,-1,-46.5
2023-02-06,NIFTY,2023-02-09,Monday,10:56,17699.45,115.85,15:19,17764.5,140.15,EOD,17700,CE,,,,17800,17600,100,-1,-24.299995
2023-02-06,NIFTY,2023-02-09,Monday,10:56,17699.45,113.85,15:19,17764.5,74.2,EOD,17700,PE,,,,17800,17600,100,-1,39.65
2023-02-07,NIFTY,2023-02-09,Tuesday,09:20,17791.95,97.65,15:19,17716.6,54.1,EOD,17800,CE,,,,17900,17700,100,-1,43.550003
2023-02-07,NIFTY,2023-02-09,Tuesday,09:20,17791.95,96.5,12:20,17699.85,147.15,LOWER_BREACH,17800,PE,,,,17900,17700,100,-1,-50.649994
2023-02-07,NIFTY,2023-02-09,Tuesday,12:21,17699.85,100.1,15:19,17716.6,100.6,EOD,17700,CE,,,,17800,17600,100,-1,-0.5
2023-02-07,NIFTY,2023-02-09,Tuesday,12:21,17699.85,91.2,15:19,17716.6,68.2,EOD,17700,PE,,,,17800,17600,100,-1,23.0
2023-02-08,NIFTY,2023-02-09,Wednesday,09:20,17787.4,70.4,15:19,17873.7,104.65,EOD,17800,CE,,,,17900,17700,100,-1,-34.25
2023-02-08,NIFTY,2023-02-09,Wednesday,09:20,17787.4,79.2,15:19,17873.7,30.2,EOD,17800,PE,,,,17900,17700,100,-1,48.999996
2023-02-09,NIFTY,2023-02-09,Thursday,09:20,17843.75,42.9,15:19,17893.35,40.05,EOD,17850,CE,,,,17950,17750,100,-1,2.8500023
2023-02-09,NIFTY,2023-02-09,Thursday,09:20,17843.75,50.1,15:19,17893.35,0.05,EOD,17850,PE,,,,17950,17750,100,-1,50.05
2023-02-10,NIFTY,2023-02-16,Friday,09:20,17844.55,102.55,15:19,17855.95,98.25,EOD,17850,CE,,,,17950,17750,100,-1,4.300003
2023-02-10,NIFTY,2023-02-16,Friday,09:20,17844.55,103.7,15:19,17855.95,88.25,EOD,17850,PE,,,,17950,17750,100,-1,15.449997
2023-02-13,NIFTY,2023-02-16,Monday,09:20,17872.3,101.65,15:19,17767.55,55.85,EOD,17850,CE,,,,17950,17750,100,-1,45.800003
2023-02-13,NIFTY,2023-02-16,Monday,09:20,17872.3,77.95,10:06,17740.65,158.1,LOWER_BREACH,17850,PE,,,,17950,17750,100,-1,-80.15001
2023-02-13,NIFTY,2023-02-16,Monday,10:07,17740.65,98.1,15:19,17767.55,103.95,EOD,17750,CE,,,,17850,17650,100,-1,-5.8499985
